//floor2
//1为路 0为墙 21石堆 22为门 23为陷阱 3为人物 41为怪物s 42为怪物m 51为楼梯 61为刀 65为药 67炸弹 68钥匙
[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9],
[9, 67, 1, 1, 1, 68, 0, 61, 1, 1, 65, 0, 65, 61, 65, 9],
[9, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 61, 65, 61, 9],
[9, 1, 1, 1, 1, 1, 0, 1, 41, 1, 1, 21, 65, 61, 65, 9],
[9, 0, 0, 41, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 9],
[9, 61, 0, 41, 0, 65, 0, 1, 1, 1, 0, 41, 41, 0, 67, 9],
[9, 68, 0, 1, 22, 41, 0, 42, 42, 1, 0, 1, 1, 1, 9],
[9, 1, 0, 1, 0, 0, 0, 42, 42, 1, 0, 1, 1, 1, 1, 9],
[9, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9],
[9, 1, 0, 42, 42, 1, 0, 1, 0, 0, 0, 0, 0, 68, 1, 9],
[9, 1, 0, 42, 42, 1, 22, 1, 1, 1, 1, 1, 1, 0, 41, 9],
[9, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 9],
[9, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9],
[9, 1, 0, 1, 0, 0, 1, 22, 1, 1, 0, 0, 0, 1, 1, 9],
[9, 1, 1, 1, 0, 67, 1,0, 51, 1, 21, 1, 1, 1, 3, 9],
[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9],
